age,income,credit_score,loan_amount,loan_term_months,loan_purpose,employment_type,education_level,debt_to_income_ratio,credit_history_years,previous_loans,interest_rate
18.0,2957.87,640.0,7420.06,60,medical,unemployed,master,0.708,0.0,0,15.78
27.6,29610.49,730.0,12816.2,48,medical,self_employed,master,0.292,6.2,1,6.56
38.1,70284.9,662.0,21048.43,24,personal,self_employed,master,0.44,20.1,3,8.96
30.2,25581.08,641.0,6556.9,12,personal,part_time,high_school,0.715,6.2,1,10.86
44.9,31398.57,415.0,25168.91,48,auto,part_time,associates,0.284,18.8,2,8.47
57.4,94045.59,728.0,19977.66,60,medical,self_employed,phd,0.172,37.6,8,5.96
58.6,38568.1,664.0,13814.22,12,personal,retired,associates,0.526,26.5,2,9.77
33.8,42412.44,573.0,1000.0,60,auto,self_employed,bachelor,0.276,15.8,0,9.09
46.5,57831.53,829.0,221631.69,240,home,self_employed,bachelor,0.65,17.8,4,6.24
47.1,62521.69,627.0,210185.63,300,home,full_time,master,0.667,15.9,0,6.67
51.9,4359.23,668.0,267696.64,180,home,unemployed,bachelor,1.0,22.2,2,11.35
20.3,29415.74,772.0,50626.59,48,business,self_employed,associates,0.765,0.0,0,8.19
35.5,51480.74,764.0,30576.91,36,auto,self_employed,phd,0.331,11.7,4,5.02
37.2,5096.17,468.0,233006.5,180,home,unemployed,master,1.0,6.7,2,14.62
64.3,9952.69,605.0,164255.46,180,home,unemployed,phd,1.0,46.1,6,12.62
44.5,34303.53,671.0,11609.79,36,education,part_time,bachelor,0.17,15.9,7,4.98
39.0,16881.12,550.0,283085.23,360,home,part_time,high_school,1.0,19.9,4,9.27
47.3,48694.63,623.0,11239.66,24,education,retired,associates,0.455,20.1,3,8.57
48.9,5511.89,564.0,89639.12,48,business,unemployed,associates,1.0,20.9,7,15.59
48.8,49149.81,583.0,37788.91,36,business,retired,master,0.659,24.3,8,12.19
56.9,41270.74,622.0,1000.0,180,home,retired,associates,0.363,25.3,4,5.6
42.4,36563.07,679.0,24886.26,12,personal,part_time,bachelor,0.82,20.8,4,10.3
48.3,13144.39,565.0,14768.04,36,auto,part_time,bachelor,0.52,19.5,0,11.54
26.2,48209.16,695.0,1000.0,48,business,full_time,bachelor,0.204,7.2,1,5.51
49.4,5448.75,568.0,26378.96,12,personal,unemployed,associates,1.0,29.3,5,17.53
22.0,49742.25,580.0,11928.23,36,medical,self_employed,bachelor,0.417,4.0,0,13.35
53.0,97407.94,773.0,14406.31,24,medical,full_time,phd,0.537,32.6,10,7.0
48.0,36859.8,616.0,20564.3,24,medical,retired,master,0.706,21.6,1,9.66
21.8,30322.83,712.0,19601.64,24,education,full_time,phd,0.698,0.0,0,7.7
32.1,54558.57,698.0,29920.19,36,auto,self_employed,bachelor,0.404,0.0,0,8.55
34.3,18036.91,684.0,11863.9,60,personal,part_time,high_school,0.591,12.3,3,9.52
41.7,24705.07,667.0,19118.85,12,business,self_employed,associates,0.871,9.1,2,10.56
31.6,64313.91,819.0,9740.54,48,medical,self_employed,phd,0.273,5.7,2,5.86
57.4,53060.04,557.0,11692.28,48,education,retired,master,0.394,27.6,4,8.62
58.2,81044.35,640.0,28612.17,12,education,full_time,phd,0.487,24.9,4,8.5
40.8,53422.13,678.0,10626.56,36,education,self_employed,phd,0.326,22.8,2,6.57
54.3,74228.29,558.0,34260.62,36,auto,full_time,high_school,0.552,21.6,4,10.98
44.1,48841.54,553.0,304731.77,240,home,retired,master,0.787,17.9,4,9.58
35.4,43658.92,585.0,13872.58,48,medical,retired,phd,0.427,11.3,2,11.07
56.6,36460.05,702.0,10976.2,48,education,part_time,master,0.415,33.0,3,5.78
29.0,34031.21,639.0,28527.2,36,business,full_time,phd,0.682,11.0,1,9.95
45.7,72635.37,742.0,18857.99,12,personal,self_employed,phd,0.374,25.0,5,8.64
30.6,21852.5,656.0,71646.88,48,business,self_employed,bachelor,1.0,12.6,3,10.2
30.8,3839.68,683.0,11902.95,12,education,unemployed,master,1.0,5.9,0,11.74
49.5,77029.01,707.0,11990.94,36,personal,full_time,phd,0.614,19.4,2,9.1
44.1,72464.0,760.0,40060.75,60,business,full_time,master,0.319,13.7,3,4.29
45.8,42304.42,696.0,42351.33,48,business,retired,high_school,0.531,22.4,5,8.99
75.8,49062.43,634.0,22374.41,36,education,part_time,high_school,0.524,52.9,10,9.2
45.7,4101.95,659.0,7650.51,48,medical,unemployed,associates,0.704,19.2,1,13.99
51.0,22638.84,637.0,9323.36,60,personal,part_time,high_school,0.194,24.9,3,7.55
23.5,26996.98,719.0,112653.28,48,business,self_employed,bachelor,1.0,0.0,0,10.14
44.7,38315.91,691.0,1000.0,60,medical,full_time,high_school,0.306,21.3,3,6.46
29.3,21080.6,551.0,20209.09,60,personal,part_time,bachelor,0.62,3.1,0,12.16
43.1,34584.48,583.0,110858.87,12,business,retired,high_school,1.0,12.6,0,11.52
43.4,81746.94,722.0,61674.78,12,business,full_time,bachelor,1.0,24.5,7,8.32
34.5,4587.0,619.0,21787.45,36,medical,unemployed,bachelor,1.0,6.5,2,14.91
27.1,27828.22,537.0,5872.74,48,business,self_employed,associates,0.325,0.0,0,11.88
36.6,46349.83,734.0,43731.38,60,business,part_time,phd,0.805,12.9,0,9.46
45.5,7932.47,674.0,32890.57,48,auto,unemployed,bachelor,1.0,27.5,5,12.85
45.6,55005.96,690.0,100998.72,36,business,self_employed,high_school,1.0,21.5,4,9.37
32.4,27871.79,577.0,131261.57,300,home,self_employed,associates,0.616,6.7,1,10.81
34.2,47922.43,624.0,23866.7,48,education,retired,master,0.514,13.9,3,8.05
30.2,3304.77,532.0,20609.49,48,education,unemployed,bachelor,1.0,8.3,4,15.83
33.5,35065.75,488.0,17797.2,60,education,self_employed,master,0.167,9.0,3,8.57
44.0,7377.34,655.0,2715.42,24,personal,unemployed,phd,0.598,22.1,3,13.69
37.1,33937.0,633.0,60015.8,24,business,retired,bachelor,1.0,17.5,1,8.74
47.5,94131.26,735.0,23727.84,48,personal,full_time,phd,0.665,27.6,9,8.88
18.0,3938.26,685.0,10261.15,24,medical,unemployed,phd,1.0,0.0,0,14.05
27.3,66164.61,833.0,25036.96,60,auto,full_time,phd,0.527,9.0,1,7.12
60.2,7221.93,547.0,398706.11,360,home,unemployed,high_school,1.0,33.5,8,14.57
26.8,19392.78,497.0,66163.94,24,business,part_time,high_school,1.0,5.6,1,11.6
38.2,6014.31,637.0,17655.54,36,personal,unemployed,high_school,1.0,15.4,3,15.03
43.5,5403.91,711.0,14039.09,12,medical,unemployed,associates,1.0,16.0,5,12.67
37.9,32153.76,586.0,1000.0,36,business,retired,master,0.276,4.4,1,9.47
27.8,23319.36,603.0,141985.63,180,home,retired,phd,0.911,0.0,0,8.21
44.0,69202.53,649.0,5819.0,36,auto,self_employed,bachelor,0.306,25.7,3,7.34
22.9,49045.61,591.0,14802.74,12,medical,full_time,phd,0.319,0.0,0,9.21
18.0,22876.58,764.0,24035.79,36,medical,part_time,phd,0.752,0.0,0,8.7
54.7,61401.32,577.0,11004.93,12,personal,full_time,high_school,0.735,29.3,9,12.33
24.9,33752.38,850.0,5133.85,48,personal,self_employed,master,0.437,0.0,0,8.43
29.3,28394.05,535.0,17326.82,48,education,part_time,bachelor,0.316,0.7,0,8.93
50.0,25336.24,653.0,37179.59,48,auto,part_time,associates,0.59,21.4,5,8.08
44.9,32833.85,576.0,23399.57,60,business,retired,high_school,0.523,26.0,4,12.31
39.7,4182.91,556.0,14443.37,24,education,unemployed,bachelor,1.0,21.7,6,15.3
35.4,5312.46,627.0,1000.0,36,medical,unemployed,bachelor,0.478,11.5,2,14.53
33.9,71775.95,664.0,2574.94,12,medical,self_employed,phd,0.291,10.1,1,6.55
54.7,77674.87,802.0,10080.4,60,medical,self_employed,phd,0.375,27.4,5,7.27
41.7,43113.21,557.0,65162.13,36,business,full_time,bachelor,0.833,20.1,7,10.47
51.9,76081.26,599.0,4765.04,48,medical,self_employed,associates,0.299,22.9,5,9.45
43.6,6242.69,655.0,1807.73,24,personal,unemployed,master,0.446,25.6,7,12.51
47.6,5767.68,479.0,44641.65,240,home,unemployed,phd,0.646,25.6,4,15.81
36.9,44539.74,609.0,1000.0,60,personal,retired,phd,0.345,2.3,0,8.67
25.5,36163.99,656.0,99133.6,360,home,self_employed,master,0.35,4.1,3,6.95
49.7,67983.23,747.0,18733.73,12,education,full_time,master,0.652,25.6,4,6.44
58.2,7520.88,623.0,13302.33,24,personal,unemployed,associates,1.0,33.6,9,14.99
62.7,78535.32,582.0,29860.36,48,auto,self_employed,associates,0.163,43.1,8,8.46
54.8,62155.21,628.0,4589.25,24,medical,self_employed,associates,0.41,32.1,8,7.76
32.1,48083.45,579.0,15471.87,48,personal,full_time,high_school,0.447,5.4,1,11.09
47.3,39068.87,602.0,16793.73,24,personal,retired,high_school,0.622,12.1,4,10.17
36.5,28788.26,496.0,24258.77,48,personal,self_employed,high_school,0.704,10.7,1,12.86
25.6,19930.71,642.0,35181.57,60,auto,part_time,bachelor,0.655,0.0,0,10.18
36.9,47314.47,772.0,26715.63,24,personal,retired,associates,0.498,18.9,5,8.08
37.2,7244.8,676.0,13292.86,36,personal,unemployed,master,1.0,9.8,2,13.59
49.1,5347.64,649.0,113611.7,240,home,unemployed,high_school,1.0,29.3,5,12.69
59.8,8785.29,560.0,17891.34,36,education,unemployed,bachelor,0.785,37.7,8,14.98
37.3,2845.24,640.0,162633.79,300,home,unemployed,high_school,1.0,9.3,0,12.65
18.0,49774.53,666.0,37655.21,36,business,full_time,associates,0.539,0.0,0,8.63
57.9,57778.64,703.0,78546.49,36,business,retired,master,0.6,35.3,6,7.77
47.6,27282.67,478.0,31699.31,12,business,part_time,high_school,1.0,18.8,2,11.68
20.4,10500.0,629.0,25629.13,60,personal,retired,associates,0.835,0.0,0,11.43
34.5,36071.91,554.0,1000.0,48,medical,full_time,bachelor,0.248,10.3,0,9.28
29.7,5306.97,524.0,252339.5,240,home,unemployed,master,1.0,3.1,0,15.51
22.4,25997.83,714.0,19125.02,48,personal,full_time,high_school,0.631,0.0,0,9.74
31.6,61941.17,581.0,21233.0,48,auto,full_time,high_school,0.355,9.7,3,9.06
24.2,6584.52,470.0,8724.07,60,personal,unemployed,phd,0.737,0.3,0,18.09
45.1,51794.65,764.0,7381.47,24,medical,retired,phd,0.27,16.2,2,4.62
34.6,68264.95,750.0,100653.26,60,business,full_time,phd,0.838,14.1,3,6.76
27.6,53608.67,558.0,119178.16,300,home,self_employed,phd,0.495,7.9,0,10.86
29.8,6058.21,678.0,48829.41,24,business,unemployed,bachelor,1.0,0.0,0,13.96
